Ticker,Window,Model,Samples,Accuracy,Accuracy_Std,Precision,Recall,Specificity,F-Score,AUC
TSLA,15,XGBoost,1231,0.5492083868207104,0.11443246986811476,0.5135884429509822,0.5200697589593328,0.4696095579919109,0.5057064354070707,0.4728355887481688
TSLA,15,Gradient Boosting,1231,0.5752312300450939,0.1268415494341385,0.5300806061500831,0.5598601298002863,0.4698448228595288,0.5312630687762909,0.5084738080717948
TSLA,15,LightGBM,1231,0.5744050557914486,0.11760506848206745,0.5410775243852693,0.5738589269076819,0.46389920382567446,0.543965400695569,0.5252283324977709
TSLA,15,CatBoost,1231,0.5647378295645304,0.1474789031614139,0.48816087815294945,0.49299003470221425,0.4949903933727463,0.47825409820454723,0.49629082065847074
F,1,Random Forest,1231,0.6263585793752674,0.06965436336726785,0.6658525404682523,0.5497727611759873,0.6921780037549364,0.597031359925394,0.685939369815033
F,1,XGBoost,1231,0.633642737237089,0.07294508017674099,0.7262068440847506,0.5029719323360694,0.7650563771778235,0.5769363386885781,0.696280624820081
F,1,Gradient Boosting,1231,0.6312135874395182,0.056912129563112715,0.6874963646232805,0.5442399923012913,0.714249754330329,0.5963373320976524,0.6831966185546761
F,1,LightGBM,1231,0.6312530858102103,0.07228215281576163,0.686358054960142,0.535937866488098,0.7178547629007687,0.5965688807752052,0.6831571179049745
F,1,CatBoost,1231,0.6653566373720418,0.06470311776944762,0.7189652259577507,0.5380290279958075,0.7743847249871689,0.6120976772730713,0.7171844775157986
F,2,Random Forest,1231,0.6076626839142886,0.06474023273243316,0.6603969524284095,0.5076928071254992,0.7016870256656723,0.5646173876249063,0.6475019776176163
F,2,XGBoost,1231,0.5890029952931108,0.05834462314851097,0.6448088822640546,0.4372460362892071,0.7421741955962926,0.5140991240584382,0.6007820060926788
F,2,Gradient Boosting,1231,0.6149830486159112,0.0461819526967628,0.6802380952380952,0.48593883154428996,0.740965727159735,0.5545174559333643,0.6606696276806632
F,2,LightGBM,1231,0.5954971857410881,0.08195021345904756,0.6664621407338099,0.49205359061073517,0.6903155337340283,0.5513983698659024,0.649694265043044
F,2,CatBoost,1231,0.6401961752411047,0.0653284014553451,0.6888462812576466,0.49732313924859345,0.7656515887504386,0.5758422140550551,0.6812359083018642
F,5,Random Forest,1231,0.5727099173825747,0.061847175250409156,0.6257544934104484,0.4998011323300119,0.6453878157909978,0.5268341689242291,0.6292741651976724
F,5,XGBoost,1231,0.570316974424805,0.07162088695255768,0.6550488409191189,0.44370846731662467,0.7019719752764578,0.48290309075275195,0.6324044940336466
F,5,Gradient Boosting,1231,0.5857674204272407,0.0490654982157151,0.6363352604039989,0.4487043070705994,0.719290642583398,0.5062527127415075,0.6385933202146479
F,5,LightGBM,1231,0.5954675619630689,0.054923301899422614,0.6578361485755959,0.45918472773272667,0.7236440753687353,0.5209875195362338,0.6650442601440735
F,5,CatBoost,1231,0.619857805865508,0.05827777760536849,0.6974930675401134,0.4612654022737951,0.7753546128315525,0.5366250288018357,0.6715581458553463
F,10,Random Forest,1231,0.5833481452223429,0.06388943925262935,0.5854833495292605,0.469717363336315,0.6771578612540906,0.5195596793951802,0.6065331133103903
F,10,XGBoost,1231,0.5744215134459038,0.07131019215720633,0.6024898204295952,0.43406293285325537,0.7126460144936326,0.49282873640142205,0.6222147021578988
F,10,Gradient Boosting,1231,0.5833975181857082,0.08984915489192859,0.6058705741272078,0.47866593211351277,0.6852755355710786,0.5272341971175123,0.6254991758787105
F,10,LightGBM,1231,0.5703597643263882,0.06251281534117768,0.5811615654559747,0.4311952139875528,0.705386784625378,0.4891840850027095,0.6140668491933365
F,10,CatBoost,1231,0.6012441986768046,0.07285916335491217,0.6178849775459945,0.4287661240786241,0.7420841070005542,0.5045140620613549,0.6385554191983529
F,15,Random Forest,1231,0.5800862381093446,0.07105203932125365,0.5816729543349417,0.49731603262047663,0.6404429869862518,0.5281242417901855,0.5858693825560006
F,15,XGBoost,1231,0.5703597643263881,0.09006497098427405,0.5691808481139262,0.48533640216479323,0.6366578188389072,0.5140100612950856,0.590240902383156
F,15,Gradient Boosting,1231,0.5939007932589447,0.08273713960164647,0.5965512186451816,0.49900227295079613,0.6587642954725916,0.5298462303684954,0.5920495810852794
F,15,LightGBM,1231,0.6004048582995951,0.08352442850609539,0.6159223764700194,0.5166392499617187,0.6504756542892135,0.5406306334701194,0.612786490423664
F,15,CatBoost,1231,0.5898094203614102,0.0677567282341685,0.6361947074275841,0.40806794005632463,0.7425827889030387,0.48610980082325705,0.6209971396933767
GM,1,Random Forest,1231,0.6734834271419637,0.054480267896493385,0.7091296703296704,0.6848735773499435,0.6430820511822911,0.684032405566559,0.7288805510232775
GM,1,XGBoost,1231,0.6255455712451862,0.04036505481281537,0.6796893102990009,0.6214656903553177,0.6043122832098878,0.6289959878234521,0.6715697227354811
GM,1,Gradient Boosting,1231,0.6531351831736941,0.056778269977321105,0.7152559938497537,0.6442689741509333,0.6232285539088686,0.639947076117289,0.7122538454175344
GM,1,LightGBM,1231,0.6498963167769329,0.0500706863398631,0.6918259275573944,0.6604822387517217,0.6101797625738353,0.6564014634296954,0.7127706724496781
